Bureautique Word TOSA - Niveau initial T1WD26 1 600 € 7h 3h
Bureautique Word TOSA - Niveau basique T2WD26 1 600 € 7h 3h
Bureautique Word TOSA - Niveau opérationnel T3WD26 1 600 € 7h 3h
Bureautique Excel TOSA - Niveau initial T1EX26 1 600 € 7h 3h
Bureautique Excel TOSA - Niveau basique T2EX26 1 600 € 7h 3h
Bureautique Excel TOSA - Niveau opérationnel T3EX26 1 600 € 7h 3h
Bureautique Excel TOSA - Niveau avancé T4EX26 1 600 € 7h 3h
Bureautique Excel TOSA - Niveau expert T5EX26 1 600 € 7h 3h
Bureautique PowerPoint TOSA - Niveau initial T1PPT26 1 600 € 7h 3h
Bureautique PowerPoint TOSA - Niveau basique T2PPT26 1 600 € 7h 3h
Bureautique PowerPoint TOSA - Niveau opérationnel T3PPT26 1 600 € 7h 3h
Bureautique Word ICDL - Niveau opérationnel P3WD26 1 600 € 7h 3h
Bureautique Excel ICDL - Niveau opérationnel P3EX26 1 600 € 7h 3h
Bureautique PowerPoint ICDL - Niveau opérationnel P3PPT26 1 600 € 7h 3h
Bureautique Google Docs ICDL - Niveau opérationnel P3WD26 1 600 € 7h 3h
Bureautique Google Sheets ICDL - Niveau opérationnel P3EX26 1 600 € 7h 3h
Bureautique Google Slides ICDL - Niveau opérationnel P3PPT26 1 600 € 7h 3h
WordPress TOSA - Niveau initial T1WP26 1 600 € 7h 3h
WordPress TOSA - Niveau basique T2WP26 1 600 € 7h 3h
WordPress TOSA - Niveau opérationnel T3WP26 1 600 € 7h 3h
WordPress ICDL - Niveau opérationnel P3WP26 1 600 € 7h 3h
DigComp TOSA - Niveau initial T1CN26 1 600 € 7h 3h
DigComp TOSA - Niveau basique T2CN26 1 600 € 7h 3h
DigComp TOSA - Niveau opérationnel T3CN26 1 600 € 7h 3h
GIMP ICDL - Niveau opérationnel P1GIMP26 1 600 € 7h 3h
Photoshop TOSA - Niveau initial T1PS26 1 600 € 7h 3h
Photoshop TOSA - Niveau basique T2PS26 1 600 € 7h 3h
Photoshop TOSA - Niveau opérationnel T3PS26 1 600 € 7h 3h
Photoshop ICDL - Niveau opérationnel P3PS26 1 600 € 7h 3h
SketchUp ICDL - Niveau opérationnel P1SKET26 1 600 € 7h 3h
Anglais TOEIC - Niveau A2 2ANG26 1 600 € 7h 3h
Anglais TOEIC - Niveau B1 3ANG26 1 600 € 7h 3h
Anglais TOEIC - Niveau B2 4ANG26 1 600 € 7h 3h
Anglais TOEIC - Niveau C1 5ANG26 1 600 € 7h 3h
